0.6442759755524213 -1.0,0.507698636577339 -0.8146450399623884,0.40038787023977435 -0.6683121767748001,0.273566055477198 -0.48295721673718855,0.16625528913963333 -0.2976022566995769,0.05894452280206869 -0.1220028208744711,-0.08738834038551946 0.03408556652562292,0.03943347437705694 0.34626234132581096,-0.4873648330982604 0.2584626234132581,-0.8190526563234602 0.2096850023507287,-0.8775858015984954 0.22919605077574046,-0.8775858015984954 0.22919605077574046,-0.8775858015984954 0.22919605077574046,-0.8775858015984954 0.22919605077574046,-0.8775858015984954 0.22919605077574046,-0.8775858015984954 0.22919605077574046,-0.8775858015984954 0.22919605077574046,-0.8775858015984954 0.22919605077574046,-0.8775858015984954 0.22919605077574046,-0.8775858015984954 0.22919605077574046	1,0,0,0,0
0.41060654175928873 -1.0,0.3369323594791998 -0.8250238170847888,0.2632581771991109 -0.6224198158145443,0.18958399491902198 -0.438234360114322,0.11590981263893306 -0.27246744998412187,0.033026357573833015 -0.07907272149888846,-0.03143855192124479 0.10511273420133385,-0.36297237218164496 0.14194982534137832,-0.5839949190219117 0.22483328040647835,-0.6668783740870118 0.29850746268656725,-0.6668783740870118 0.29850746268656725,-0.6668783740870118 0.29850746268656725,-0.6668783740870118 0.29850746268656725,-0.6668783740870118 0.29850746268656725,-0.6668783740870118 0.29850746268656725,-0.6668783740870118 0.29850746268656725,-0.6668783740870118 0.29850746268656725,-0.6668783740870118 0.29850746268656725,-0.6668783740870118 0.29850746268656725,-0.6668783740870118 0.29850746268656725	1,0,0,0,0
0.24902622695403795 -0.7910004822495085,0.1596245873057091 -0.6211373669176837,0.04340245576288166 -0.4691545795155248,-0.06387951181511292 -0.30823162814853294,-0.16222131542827462 -0.15624884074637393,-0.29632377490076783 -0.004266053344214941,-0.48406721816225834 0.09407575026894675,0.8927180324220054 0.38016099714359897,0.9642393441406685 0.3712208331787661,0.9642393441406685 0.3712208331787661,0.9642393441406685 0.3712208331787661,0.9642393441406685 0.3712208331787661,0.9642393441406685 0.3712208331787661,0.9642393441406685 0.3712208331787661,0.9642393441406685 0.3712208331787661,0.9642393441406685 0.3712208331787661,0.9642393441406685 0.3712208331787661,0.9642393441406685 0.3712208331787661,0.9642393441406685 0.3712208331787661,0.9642393441406685 0.3712208331787661	1,0,0,0,0
0.22881355932203395 -1.0,0.11761577193106877 -0.8252606198141976,0.014360683639458258 -0.6505212396283951,-0.07300900645344295 -0.45989646124388345,-0.1365505992482802 -0.25338628466066243,-0.17626409474505347 -0.030990709878732068,-0.17626409474505347 0.16757676760513432,-0.6528260407063328 0.14374867030707034,-0.6210552443089141 0.38997234238706463,-0.6210552443089141 0.38997234238706463,-0.6210552443089141 0.38997234238706463,-0.6210552443089141 0.38997234238706463,-0.6210552443089141 0.38997234238706463,-0.6210552443089141 0.38997234238706463,-0.6210552443089141 0.38997234238706463,-0.6210552443089141 0.38997234238706463,-0.6210552443089141 0.38997234238706463,-0.6210552443089141 0.38997234238706463,-0.6210552443089141 0.38997234238706463,-0.6210552443089141 0.38997234238706463	1,0,0,0,0
0.32228373467377636 -1.0,0.22647148728050803 -0.8304860238426791,0.13802941276364494 -0.6683422205617634,0.06432768399959238 -0.484087898651632,-0.024114390517270705 -0.32194409537071633,-0.10518629215772854 -0.13768977346058492,0.6907923784940392 0.08341541283157279,-0.45895459022518087 0.08341541283157279,-0.36314234283191255 0.3782223278877831,-0.41473355296674935 0.43718371089902514,-0.41473355296674935 0.43718371089902514,-0.41473355296674935 0.43718371089902514,-0.41473355296674935 0.43718371089902514,-0.41473355296674935 0.43718371089902514,-0.41473355296674935 0.43718371089902514,-0.41473355296674935 0.43718371089902514,-0.41473355296674935 0.43718371089902514,-0.41473355296674935 0.43718371089902514,-0.41473355296674935 0.43718371089902514,-0.41473355296674935 0.43718371089902514	1,0,0,0,0
0.24085764877973675 -1.0,0.1870428824389869 -0.7937100623604588,0.133228116098237 -0.5784509969974594,0.07044422203402885 -0.3811301870813765,-0.028216182924012578 -0.1838093771652937,-0.10893833243513738 0.013511432750789153,-0.647085995842636 -0.06721071676033565,-0.39595041958580335 0.354338286242205,-0.6022403572253445 0.43506043575332976,-0.6022403572253445 0.43506043575332976,-0.6022403572253445 0.43506043575332976,-0.6022403572253445 0.43506043575332976,-0.6022403572253445 0.43506043575332976,-0.6022403572253445 0.43506043575332976,-0.6022403572253445 0.43506043575332976,-0.6022403572253445 0.43506043575332976,-0.6022403572253445 0.43506043575332976,-0.6022403572253445 0.43506043575332976,-0.6022403572253445 0.43506043575332976,-0.6022403572253445 0.43506043575332976	1,0,0,0,0
0.2784437262201857 -1.0,0.20193920549850672 -0.846990958556642,0.15325451049380187 -0.7218017428302581,0.09065990263060997 -0.4436034856605163,0.09065990263060997 -0.4157836599435421,0.04893016405514869 -0.21408992349547928,0.00720042547968741 -0.026306099905903525,-0.25708791883156734 0.07801824653274966,0.6748762426870678 0.3144867651270302,-0.27795278811929797 0.36317146013173507,-0.27795278811929797 0.36317146013173507,-0.27795278811929797 0.36317146013173507,-0.27795278811929797 0.36317146013173507,-0.27795278811929797 0.36317146013173507,-0.27795278811929797 0.36317146013173507,-0.27795278811929797 0.36317146013173507,-0.27795278811929797 0.36317146013173507,-0.27795278811929797 0.36317146013173507,-0.27795278811929797 0.36317146013173507,-0.27795278811929797 0.36317146013173507	1,0,0,0,0
0.4039817664705652 -1.0,0.3014376436669653 -0.8461838157946001,0.23551642186465105 -0.6996922117894573,0.1842443604628511 -0.5385514473838002,0.14029687926130824 -0.37008610277788606,0.08902481785950828 -0.1723224373709433,0.023103596057194017 0.0034674874352280385,-0.12338800794794876 0.1646082518408851,-0.49694159816106287 0.1499590914403708,-0.34312541395566293 0.3330735964467993,-0.34312541395566293 0.3330735964467993,-0.34312541395566293 0.3330735964467993,-0.34312541395566293 0.3330735964467993,-0.34312541395566293 0.3330735964467993,-0.34312541395566293 0.3330735964467993,-0.34312541395566293 0.3330735964467993,-0.34312541395566293 0.3330735964467993,-0.34312541395566293 0.3330735964467993,-0.34312541395566293 0.3330735964467993,-0.34312541395566293 0.3330735964467993	1,0,0,0,0
0.2961600214075462 -1.0,0.17925474979930428 -0.8519199892962269,0.06234947819106235 -0.6882526090446882,-0.015587369547765588 -0.5167915440192667,-0.07793684773882795 -0.32974310944607965,-0.1480800107037731 -0.1349009900990098,-0.20263580412095267 0.04435375970029446,0.34292213005084293 0.35610115065560627,-0.6312884666845063 0.23140219427348152,-0.3974779234680225 0.44962536794219976,-0.3974779234680225 0.44962536794219976,-0.3974779234680225 0.44962536794219976,-0.3974779234680225 0.44962536794219976,-0.3974779234680225 0.44962536794219976,-0.3974779234680225 0.44962536794219976,-0.3974779234680225 0.44962536794219976,-0.3974779234680225 0.44962536794219976,-0.3974779234680225 0.44962536794219976,-0.3974779234680225 0.44962536794219976,-0.3974779234680225 0.44962536794219976	1,0,0,0,0
0.3678134591598333 -1.0,0.2564478446103807 -0.8543680425122543,0.17078198726464797 -0.7173026707590819,0.06798295844976868 -0.5545375418021897,0.016583444042329025 -0.39177241284529746,-0.05194924183425717 -0.18617435521553888,-0.1119153419762701 0.010857116679646452,-0.15474827064913646 0.17362224563653866,-0.4545787713592011 0.23358834577855161,-0.5916441431123735 0.31068761738971107,-0.5916441431123735 0.31068761738971107,-0.5916441431123735 0.31068761738971107,-0.5916441431123735 0.31068761738971107,-0.5916441431123735 0.31068761738971107,-0.5916441431123735 0.31068761738971107,-0.5916441431123735 0.31068761738971107,-0.5916441431123735 0.31068761738971107,-0.5916441431123735 0.31068761738971107,-0.5916441431123735 0.31068761738971107,-0.5916441431123735 0.31068761738971107	1,0,0,0,0
